Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
24	0.9747427502338636	-0.0019402132862568	1.0006996989713437	0.2599909525200258	2.773895731218337	0.0002871764060153	50	apply	Skin	KIT
25	0.9761904761904762	0.0014477259566126	0.999450771161599	0.3466776681516161	2.6352009446574205	0.0002704199588423	49	apply	Skin	KIT
26	0.9773656680932	0.0011751919027239	0.999530679509336	0.8884979555652737	2.503440897424549	0.0002543095480442	48	apply	Skin	KIT
27	0.976287584179076	-0.001078083914124	1.000453408915872	0.9715659437865448	2.378268852553321	0.0002704199588423	49	apply	Skin	KIT
28	0.97683251044436	0.0005449262652839	0.9997588424761706	0.1623411781912622	2.2593554099256554	0.0065832556617286	47	apply	Skin	KIT
29	0.9750801649106734	-0.0017523455336866	1.000816749508703	0.6477160812022806	2.1463876394293724	0.0068584272317399	48	apply	Skin	KIT
30	0.9764139191097084	0.0013337541990351	0.9993461140474073	0.1449200430869944	2.039068257457904	0.007138767966872	49	apply	Skin	KIT
31	0.9770516338238964	0.0006377147141877	0.9996708456615626	0.9049486093674908	1.9371148445850084	0.113186296656808	49	refuse	Skin	KIT
32	0.9764282206580456	1.4301548336925762e-05	0.9999922285439335	0.5653764338651188	1.840259102355758	0.0074242509485053	50	apply	Skin	KIT
33	0.976465229274218	3.700861617261797e-05	0.99997883122779	0.6719105528980752	1.74824614723797	0.0077148493559712	51	apply	Skin	KIT
34	0.9774288518155054	0.0009636225412873	0.999419964223176	0.549552338690021	1.6608338398760714	0.0080105364637049	52	apply	Skin	KIT
35	0.9764079147640792	-0.0010209370514262	1.0006472762786476	0.1432599613467776	1.5777921478822676	0.0077148493559712	51	apply	Skin	KIT
36	0.9772727272727272	0.0008648125086481	0.999423202609568	0.042019585211366	1.4989025404881542	0.0074242509485053	50	apply	Skin	KIT
37	0.9747913769123784	-0.002481350360349	1.0017440925977277	0.3351454096947293	1.4239574134637465	0.007138767966872	49	apply	Skin	KIT
38	0.9731040939654438	-0.0016872829469344	1.001248067817242	0.7592951502711549	1.3527595427905592	0.0074242509485053	50	apply	Skin	KIT
39	0.9721491041861255	-0.0009549897793182	1.0007433885829475	0.6396069070561263	1.285121565651031	0.0077148493559712	51	apply	Skin	KIT
40	0.9718667909499196	-0.000282313236206	1.000231266984557	0.893946820974395	1.2208654873684794	0.0080105364637049	52	apply	Skin	KIT
41	0.973921936253622	0.0020551453037025	0.9982296204109684	0.4583484711534925	1.1598222130000555	0.0077148493559712	51	apply	Skin	KIT
42	0.9740592200699718	0.0001372838163498	0.9998754116997598	0.8002466603241256	1.1018311023500529	0.0074242509485053	50	apply	Skin	KIT
43	0.9743655472955652	0.0003063272255934	0.9997073938711828	0.5330742244325949	1.04673954723255	0.0068584272317399	48	apply	Skin	KIT
44	0.9728923365441992	-0.001473210751366	1.0014826013311808	0.5026881048305547	0.9944025698709223	0.007138767966872	49	apply	Skin	KIT
45	0.9717374648846514	-0.0011548716595477	1.001223244775575	0.212149514883256	0.9446824413773764	0.0074242509485053	50	apply	Skin	KIT
46	0.9725138711054204	0.000776406220769	0.9991352477283132	0.2740360658204187	0.8974483193085074	0.0068584272317399	48	apply	Skin	KIT
47	0.9738170616924788	0.0013031905870584	0.998472634396334	0.0496518026083502	0.852575903343082	0.0065832556617286	47	apply	Skin	KIT
48	0.9736954479460244	-0.0001216137464543	1.000150161505424	0.7364427107865585	0.8099471081759279	0.0068584272317399	48	apply	Skin	KIT
49	0.972114931700424	-0.0015805162456005	1.0020561974454527	0.6238876526647407	0.7694497527671315	0.0065832556617286	47	apply	Skin	KIT
50	0.9700632205280774	-0.0020517111723465	1.0028107484918274	0.5726669596772013	0.7309772651287748	0.0068584272317399	48	apply	Skin	KIT
51	0.9736331284373988	0.0035699079093215	0.9948724050787192	0.665201895710168	0.694428401872336	0.007138767966872	49	apply	Skin	KIT
52	0.9739017668990112	0.0002686384616122	0.9995928741388422	0.2383962486737727	0.6597069817787192	0.0068584272317399	48	apply	Skin	KIT
53	0.972700104999596	-0.001201661899415	1.001919216751112	0.8804401342595066	0.6267216326897832	0.007138767966872	49	apply	Skin	KIT
54	0.972112517127428	-0.000587587872168	1.000987390293049	0.2747921705192988	0.595385551055294	0.0074242509485053	50	apply	Skin	KIT
55	0.9761904761904762	0.004077959063048	0.992816165374664	0.7398750771335663	0.5656162735025293	0.0077148493559712	51	apply	Skin	KIT
56	0.9774395051246284	0.0012490289341523	0.9976782131904076	0.1277545327957806	0.5373354598274028	0.0080105364637049	52	apply	Skin	KIT
57	0.9796106368605294	0.0021711317359008	0.9957558197230726	0.9735510513330424	0.5104686868360326	0.0077148493559712	51	apply	Skin	KIT
58	0.98079561042524	0.0011849735647107	0.9975594626741198	0.3677789541633502	0.484945252494231	0.0074242509485053	50	apply	Skin	KIT
59	0.981615807903952	0.0008201974787118	0.9982212472898976	0.1645771184180076	0.4606979898695194	0.007138767966872	49	apply	Skin	KIT
60	0.9824440403787073	0.0008282324747551	0.9981093920995762	0.1084562980600701	0.4376630903760434	0.0068584272317399	48	apply	Skin	KIT
61	0.9808857517646324	-0.0015582886140746	1.0037549007576287	0.9323466839809696	0.4157799358572412	0.007138767966872	49	apply	Skin	KIT
62	0.9811358352706742	0.0002500835060417	0.99936706306545	0.5503222640125786	0.3949909390643792	0.0068584272317399	48	apply	Skin	KIT
63	0.98144911950531	0.0003132842346357	0.9991654612228068	0.0139898079621163	0.3752413921111602	0.0065832556617286	47	apply	Skin	KIT
64	0.9820044988752812	0.0005553793699712	0.99844325622554	0.8527785378695377	0.3564793225056022	0.0068584272317399	48	apply	Skin	KIT
65	0.9827240861291938	0.0007195872539126	0.997877419391304	0.4007551018863522	0.338655356380322	0.0065832556617286	47	apply	Skin	KIT
66	0.9835839598997492	0.0008598737705555	0.9973308504778072	0.9820825042374416	0.321722588561306	0.0063132802718023	46	apply	Skin	KIT
67	0.9840271663941642	0.0004432064944148	0.9985509408731732	0.6768049562088991	0.3056364591332406	0.0060485281753701	45	apply	Skin	KIT
68	0.98391656719231	-0.000110599201854	1.0003809833044095	0.3240453841497656	0.2903546361765786	0.0063132802718023	46	apply	Skin	KIT
69	0.9836693675020414	-0.0002471996902687	1.0008965823181608	0.6569416061248986	0.2758369043677497	0.0065832556617286	47	apply	Skin	KIT
70	0.9840080589309323	0.000338691428891	0.9987083418168896	0.9410056926035412	0.2620450591493622	0.0063132802718023	46	apply	Skin	KIT
71	0.9837217906030336	-0.0002862683278987	1.0011505975630983	0.8064279444150423	0.2489428061918941	0.0065832556617286	47	apply	Skin	KIT
72	0.98276604911676	-0.0009557414862736	1.004049441197131	0.2110141985033801	0.2364956658822994	0.0068584272317399	48	apply	Skin	KIT
73	0.9830080650126208	0.0002420158958608	0.9989233780992098	0.7206801383971813	0.2246708825881844	0.0065832556617286	47	apply	Skin	KIT
74	0.9826791966095448	-0.0003288684030759	1.0015420071251275	0.8656210356073588	0.2134373384587752	0.0068584272317399	48	apply	Skin	KIT
75	0.98103743577196	-0.0016417608375849	1.0081297143080927	0.3524628926292315	0.2027654715358364	0.007138767966872	49	apply	Skin	KIT
76	0.9805611589950486	-0.0004762767769113	1.0024755905301193	0.2311546967372695	0.1926271979590446	0.0003045899723523	51	apply	Skin	KIT
77	0.9805611589950486	0.0	1.0	0.5745760839414079	0.1829958380610923	0.0003045899723523	51	apply	Skin	KIT
78	0.981157469717362	0.0005963107223134	0.996575768050568	0.4496812220782481	0.1738460461580377	0.000322671651016	52	apply	Skin	KIT
79	0.9808155937419852	-0.0003418759753769	1.002072190804263	0.6532334070196699	0.1651537438501358	0.0003414323460422	53	apply	Skin	KIT
80	0.9797365754812564	-0.0010790182607287	1.0069009837469478	0.8311197247408934	0.156896056657629	0.0003608828726982	54	apply	Skin	KIT
81	0.9797365754812564	0.0	1.0	0.3176072129035956	0.1490512538247475	0.0003608828726982	54	apply	Skin	KIT
82	0.9793110374610826	-0.0004255380201737	1.0030097600456378	0.010480318022753	0.1415986911335101	0.0003810339579462	55	apply	Skin	KIT
83	0.980186069901936	0.0008750324408535	0.99351620086097	0.8837386859579013	0.1345187565768346	0.0003608828726982	54	apply	Skin	KIT
84	0.9797758405977584	-0.0004102293041777	1.0032152702663664	0.7373478870672668	0.1277928187479929	0.0003810339579462	55	apply	Skin	KIT
85	0.9800488802434036	0.0002730396456452	0.9977534950637392	0.0455484111130173	0.1214031778105932	0.0003608828726982	54	apply	Skin	KIT
86	0.9812159159765704	0.0011670357331667	0.9899321886424924	0.8535470670049229	0.1153330189200636	0.0003414323460422	53	apply	Skin	KIT
87	0.9808342159681244	-0.0003817000084461	1.0034898085862296	0.0965571591112106	0.1095663679740604	0.0003608828726982	54	apply	Skin	KIT
88	0.9810148952284776	0.0001806792603533	0.9982656747104328	0.0195531642996931	0.1040880495753573	0.0003414323460422	53	apply	Skin	KIT
89	0.9803536345776032	-0.0006612606508744	1.0067096695769988	0.3957152056489983	0.0988836470965895	0.0003608828726982	54	apply	Skin	KIT
90	0.980077476480354	-0.000276158097249	1.0029440705596573	0.1059271334043965	0.09393946474176	0.0003810339579462	55	apply	Skin	KIT
91	0.9797056311850104	-0.0003718452953438	1.004175377077951	0.3639720245859811	0.089242491504672	0.0004018962407951	56	apply	Skin	KIT
92	0.9797774552491534	7.182406414307785e-05	0.9991531807251088	0.6487646788666197	0.0847803669294384	0.0004234802728139	57	apply	Skin	KIT
93	0.9796017014694508	-0.0001757537797024	1.002184538543652	0.8109631874113011	0.0805413485829665	0.0004457965184626	58	apply	Skin	KIT
94	0.9794143229921716	-0.0001873784772792	1.0024519357783264	0.6462130878647798	0.0765142811538181	0.0004688553555691	59	apply	Skin	KIT
95	0.9804566563467492	0.0010423333545775	0.985762608777028	0.0504259096891082	0.0726885670961272	0.0004457965184626	58	apply	Skin	KIT
96	0.9794143229921716	-0.0010423333545775	1.0152089334889574	0.1228181123764711	0.0690541387413209	0.0004688553555691	59	apply	Skin	KIT
97	0.9800922554017966	0.0006779324096248	0.9897191034946502	0.7028450135905556	0.0656014318042548	0.0004457965184626	58	apply	Skin	KIT
98	0.9804131884531082	0.0003209330513116	0.9948635889721964	0.7724089214242383	0.0623213602140421	0.0004688553555691	59	apply	Skin	KIT
99	0.9803245057814248	-8.868267168338217e-05	1.001499006587782	0.3295970602518236	0.05920529220334	0.0004926670756842	60	apply	Skin	KIT
100	0.9793077850978936	-0.0010167206835312	1.018241003568687	0.8440936454702024	0.0562450275931729	0.0005172418845393	61	apply	Skin	KIT
101	0.9797491871806782	0.0004414020827845	0.9917731411732912	0.7820742596977476	0.0534327762135143	0.0004926670756842	60	apply	Skin	KIT
102	0.9788813069681724	-0.0008678802125056	1.0172443318122266	0.5968649263457017	0.0507611374028386	0.0004688553555691	59	apply	Skin	KIT
103	0.979935794542536	0.0010544875743635	0.9783704820905444	0.2069981292976119	0.0482230805326966	0.0004457965184626	58	apply	Skin	KIT
104	0.979444500150406	-0.00049129439213	1.0107818690859085	0.5994265158996052	0.0458119265060618	0.0004688553555691	59	apply	Skin	KIT
105	0.9792460397032284	-0.0001984604471776	1.0045704860585951	0.4923613793128206	0.0435213301807587	0.0004926670756842	60	apply	Skin	KIT
106	0.9786744092911492	-0.000571630412079	1.013921795458387	0.4175237657593275	0.0413452636717208	0.0005172418845393	61	apply	Skin	KIT
107	0.9779110444777612	-0.0007633648133882	1.019625007924877	0.7531939480640496	0.0392780004881347	0.0005425899024355	62	apply	Skin	KIT
108	0.9782969103240392	0.000385865846278	0.9897122648592036	0.8399150417506034	0.037314100463728	0.0005172418845393	61	apply	Skin	KIT
109	0.9786945379629164	0.0003976276388771	0.988845592650535	0.2845424235863428	0.0354483954405416	0.0004926670756842	60	apply	Skin	KIT
110	0.9782183186951068	-0.0004762192678097	1.0142416766371891	0.1234689193003338	0.0336759756685145	0.0005172418845393	61	apply	Skin	KIT
111	0.978491381476456	0.0002730627813494	0.9915010236853092	0.2490227806105006	0.0319921768850888	0.0004926670756842	60	apply	Skin	KIT
112	0.9774451097804392	-0.001046271696017	1.0350246554524831	0.109127482870449	0.0303925680408343	0.0005172418845393	61	apply	Skin	KIT
113	0.9779711311170346	0.0005260213365955	0.981946464302482	0.9302877086925432	0.0288729396387926	0.0004926670756842	60	apply	Skin	KIT
114	0.9771794615153638	-0.0007916696016707	1.0292827447042685	0.2321748002645036	0.027429292656853	0.0005172418845393	61	apply	Skin	KIT
115	0.9766621977258056	-0.0005172637895581	1.0200489438455274	0.8745393321136471	0.0260578280240103	0.0005425899024355	62	apply	Skin	KIT
116	0.9756435643564356	-0.00101863336937	1.0420070366321028	0.3262955089296644	0.0247549366228098	0.0005687211646706	63	apply	Skin	KIT
117	0.9760495914342068	0.0004060270777711	0.982883069218612	0.5760019660075512	0.0235171897916693	0.0005956456218582	64	apply	Skin	KIT
118	0.975365305357812	-0.0006842860763948	1.031102592395344	0.8695827393250539	0.0223413303020858	0.000623373140483	65	apply	Skin	KIT
119	0.9744022224427028	-0.0009630829151092	1.0464217689384163	0.7201973573086481	0.0212242637869815	0.0005956456218582	64	apply	Skin	KIT
120	0.9732395064175628	-0.0011627160251398	1.059360771090014	0.6781404549009181	0.0201630505976325	0.000623373140483	65	apply	Skin	KIT
121	0.9721892319873318	-0.001050274430231	1.0563616450286435	0.7471873669556398	0.0191548980677508	0.0006519135032224	66	apply	Skin	KIT
122	0.9711988953000936	-0.000990336687238	1.0559307615865254	0.0150775971617751	0.0181971531643633	0.0006812764093069	67	apply	Skin	KIT
123	0.9710073467777725	-0.0001915485223213	1.0111419198421443	0.7385973774597219	0.0172872955061451	0.0007114714749612	68	apply	Skin	KIT
124	0.9718100890207716	0.0008027422429991	0.9522960135838816	0.6075777086997901	0.0164229307308379	0.0006812764093069	67	apply	Skin	KIT
125	0.9719048325666518	9.474354588034915e-05	0.9939457913379124	0.4315934614902994	0.015601784194296	0.0006519135032224	66	apply	Skin	KIT
126	0.9714562413986442	-0.0004485911680076	1.030728514682363	0.8070208602376285	0.0148216949845812	0.000623373140483	65	apply	Skin	KIT
127	0.9720136867371432	0.0005574453384989	0.9611838545796312	0.586080824642642	0.0140806102353521	0.0005956456218582	64	apply	Skin	KIT
128	0.9728858648385942	0.000872178101451	0.936878310408437	0.5360764237166842	0.0133765797235845	0.0005687211646706	63	apply	Skin	KIT
129	0.97164711881693	-0.001238746021664	1.1023889146796189	0.3212220532870573	0.0127077507374053	0.0005956456218582	64	apply	Skin	KIT
130	0.9720902612826604	0.0004431424657301	0.963958355785924	0.0973410000932375	0.012072363200535	0.000623373140483	65	apply	Skin	KIT
131	0.972182349156066	9.208787340564406e-05	0.9920026862142436	0.8569218149956245	0.0114687450405082	0.0005956456218582	64	apply	Skin	KIT
132	0.9727395276848568	0.000557178528791	0.9501462958864922	0.7742365574981648	0.0108953077884828	0.0005687211646706	63	apply	Skin	KIT
133	0.9740247649194674	0.0012852372346104	0.8832287929112353	0.4639137570737073	0.0103505423990587	0.0005956456218582	64	apply	Skin	KIT
134	0.9734721949302416	-0.0005525699892257	1.0578043329563351	0.2454733730728179	0.0098330152791057	0.0005687211646706	63	apply	Skin	KIT
135	0.974477958236659	0.0010057633064172	0.8979259205124426	0.8361548753371681	0.0093413645151505	0.0005956456218582	64	apply	Skin	KIT
136	0.9756688729374476	0.0011909147007885	0.8744167269461679	0.7421514335379626	0.0088742962893929	0.0005687211646706	63	apply	Skin	KIT
137	0.9768596589844482	0.0011907860470006	0.868275675597441	0.0520543426817634	0.0084305814749233	0.0005425899024355	62	apply	Skin	KIT
138	0.9765829898838516	-0.0002766691005965	1.0351481418378927	0.4637536498360638	0.0080090524011771	0.0005687211646706	63	apply	Skin	KIT
139	0.9774954287589668	0.000912438875115	0.8869895758234754	0.272872189977282	0.0076085997811183	0.0005425899024355	62	apply	Skin	KIT
140	0.9779332363021738	0.0004378075432071	0.9412282324886384	0.0445058592532754	0.0072281697920623	0.0005172418845393	61	apply	Skin	KIT
141	0.9781189838944452	0.0001857475922714	0.9733123338526466	0.3073075928234672	0.0068667613024592	0.0004926670756842	60	apply	Skin	KIT
142	0.9784794662155812	0.000360482321136	0.9462393907201064	0.896906219112112	0.0065234232373363	0.0004688553555691	59	apply	Skin	KIT
143	0.9794852491412978	0.0010057829257165	0.8501903750873196	0.1483081598516045	0.0061972520754694	0.0004457965184626	58	apply	Skin	KIT
144	0.979278625030259	-0.0002066241110387	1.0357191841058822	0.997783108609702	0.005887389471696	0.0004234802728139	57	apply	Skin	KIT
145	0.9789066279632316	-0.0003719970670272	1.0687726658457504	0.9837947492821102	0.0055930199981112	0.0004457965184626	58	apply	Skin	KIT
146	0.9792675838015888	0.0003609558383571	0.9343225889267937	0.1377022069422435	0.0053133689982056	0.0004234802728139	57	apply	Skin	KIT
147	0.9790281329923274	-0.0002394508092614	1.0485807696614788	0.4360447048949113	0.0050477005482953	0.0004018962407951	56	apply	Skin	KIT
148	0.9798778296802012	0.0008496966878738	0.8376180484021993	0.7079459331731486	0.0047953155208806	0.0003810339579462	55	apply	Skin	KIT
149	0.9806005572180374	0.0007227275378361	0.8532969134276428	0.3290669081597409	0.0045555497448365	0.0003608828726982	54	apply	Skin	KIT
150	0.9798385022887416	-0.0007620549292959	1.1925391863347108	0.4892339047203478	0.0043277722575947	0.0003810339579462	55	apply	Skin	KIT
151	0.9803819804857796	0.000543478197038	0.8761757010032898	0.8292698792682571	0.004111383644715	0.0003608828726982	54	apply	Skin	KIT
152	0.9805520086435516	0.0001700281577722	0.9574018572748508	0.0099529573349282	0.0039058144624792	0.0003810339579462	55	apply	Skin	KIT
153	0.9801883091408397	-0.0003636995027122	1.1029830508630525	0.8505926040247879	0.0037105237393552	0.0004018962407951	56	apply	Skin	KIT
154	0.978347412370133	-0.0018408967707065	1.685800594549583	0.4658821632100605	0.0035249975523875	0.0004234802728139	57	apply	Skin	KIT
155	0.9780253164556962	-0.0003220959144367	1.1009616118045251	0.6173245234188649	0.0033487476747681	0.0004018962407951	56	apply	Skin	KIT
156	0.977930755213606	-9.456124209028528e-05	1.0301701596509094	0.2678917173091107	0.0031813102910297	0.0004234802728139	57	apply	Skin	KIT
157	0.9782566491943312	0.0003258939807252	0.8977786238250368	0.973317131090538	0.0030222447764782	0.0004457965184626	57	refuse	Skin	KIT
158	0.978214611409464	0.000283856195858	0.9058644622715374	0.7455356560202975	0.0028711325376543	0.0004018962407951	56	apply	Skin	KIT
159	0.9773359639803714	-0.0008786474290926	1.380070953100475	0.2096376106505468	0.0027275759107716	0.0004234802728139	57	apply	Skin	KIT
160	0.9774200081004456	8.404412007412265e-05	0.9680858808257988	0.7698503971765132	0.002591197115233	0.0004018962407951	56	apply	Skin	KIT
161	0.9776179866315576	0.0001979785311121	0.9227235975665384	0.2582071441132937	0.0024616372594713	0.0003810339579462	55	apply	Skin	KIT
162	0.976416045152187	-0.0012019414793705	1.6719113679973696	0.3209921228202038	0.0023385553964978	0.0004018962407951	56	apply	Skin	KIT
163	0.9755373231992752	-0.0008787219529118	1.4851721777854476	0.0459156437652544	0.0022216276266729	0.0004234802728139	57	apply	Skin	KIT
164	0.976038108069095	0.0005007848698197	0.7887724730625539	0.9882639238750924	0.0021105462453392	0.0004457965184626	57	refuse	Skin	KIT
165	0.9770067747895708	0.0014694515902956	0.4805198978802081	0.8366855336634949	0.0020050189330723	0.0004018962407951	57	refuse	Skin	KIT
