Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
21	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|ITPR1|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
22	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|PPIA|RYR2|NR1H4|ITPR1|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
23	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
24	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
25	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
26	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|KCTD5|ERLIN2|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
27	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|KCTD5|ERLIN2|ARPC3|MSTN|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
28	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|KCTD5|ERLIN2|ARPC3|MSTN|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
29	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|KCTD5|ERLIN2|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
30	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|KCTD5|ERLIN2|ARPC3|FKBP1A|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|KLHL40|TGFBR1|PRKG1|MYOT|C10orf71|PPIA|RYR2|NR1H4|ITPR1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
