Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
33	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
34	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
35	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
36	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
37	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
38	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
39	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
40	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
41	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
42	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
