Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
55	0.9740781886473048	0.0003118587165911	0.9994487910379548	0.6207093301595988	0.5656162735025293	1.6432673351614377e-05	60	apply	Skin	GNAQ
56	0.9734588135772444	-0.0006193750700602	1.001153343160419	0.1515167185004395	0.5373354598274028	1.7554104440603706e-05	61	apply	Skin	GNAQ
57	0.9739323937692064	0.0004735801919618	0.9990726941859812	0.9856756728283236	0.5104686868360326	1.6432673351614377e-05	60	apply	Skin	GNAQ
58	0.9762475368802258	0.0023151431110195	0.9952373477176952	0.1851318003979285	0.484945252494231	1.5364892545618086e-05	59	apply	Skin	GNAQ
59	0.9757723233178164	-0.0004752135624094	1.0010320399706585	0.4414491453437397	0.4606979898695194	1.6432673351614377e-05	60	apply	Skin	GNAQ
60	0.974703557312253	-0.0010687660055633	1.0024449674793126	0.9602173164161474	0.4376630903760434	1.5364892545618086e-05	59	apply	Skin	GNAQ
61	0.9753421558647212	0.0006385985524681	0.9984652737301436	0.3020079841961004	0.4157799358572412	1.434910250103628e-05	58	apply	Skin	GNAQ
62	0.9745787762341116	-0.0007633796306094	1.0019345197666338	0.0519449642768643	0.3949909390643792	1.246696087779253e-05	56	apply	Skin	GNAQ
63	0.9753071763518728	0.0007284001177609	0.9980607320432774	0.932411703487248	0.3752413921111602	1.15973952606777e-05	55	apply	Skin	GNAQ
64	0.975771971496437	0.0004647951445643	0.9986970008199928	0.6924839010409124	0.3564793225056022	1.0773392823564486e-05	54	apply	Skin	GNAQ
65	0.975195822454308	-0.0005761490421288	1.001702732308748	0.2846144908903807	0.338655356380322	1.15973952606777e-05	55	apply	Skin	GNAQ
66	0.974616292798111	-0.0005795296561971	1.0018029568126248	0.0748733578948105	0.321722588561306	1.246696087779253e-05	56	apply	Skin	GNAQ
67	0.9741562426244984	-0.0004600501736125	1.001506353617345	0.6217347852068995	0.3056364591332406	1.3383664500919103e-05	57	apply	Skin	GNAQ
68	0.9738882088943288	-0.0002680337301697	1.0009235515786674	0.8885331649423229	0.2903546361765786	1.434910250103628e-05	58	apply	Skin	GNAQ
69	0.973561811505508	-0.0003263973888208	1.0011839988508011	0.1301053000633273	0.2758369043677497	1.3383664500919103e-05	57	apply	Skin	GNAQ
70	0.9740059347181008	0.000444123212593	0.9983066001369418	0.8733410179765023	0.2620450591493622	1.434910250103628e-05	58	apply	Skin	GNAQ
71	0.9745443680908276	0.0005384333727266	0.997839457515599	0.9728080970031768	0.2489428061918941	1.3383664500919103e-05	57	apply	Skin	GNAQ
72	0.973941368078176	-0.0006030000126516	1.00255298298041	0.4199231300666024	0.2364956658822994	1.434910250103628e-05	58	apply	Skin	GNAQ
73	0.9744030337145227	0.0004616656363468	0.9979472567684334	0.9040321301175354	0.2246708825881844	1.3383664500919103e-05	57	apply	Skin	GNAQ
74	0.97358206361161	-0.0008209701029127	1.0038538291095578	0.3522153482252919	0.2134373384587752	3.819893883897658e-07	59	apply	Skin	GNAQ
75	0.973131044067404	-0.000451019544206	1.0022268166445412	0.9743847237955178	0.2027654715358364	4.159612626443838e-07	60	apply	Skin	GNAQ
76	0.9726714004415538	-0.0004596436258502	1.0023890315798538	0.8055265160641747	0.1926271979590446	3.819893883897658e-07	59	apply	Skin	GNAQ
77	0.9729176149294492	0.0002462144878955	0.9986554397723986	0.8556005256753404	0.1829958380610923	4.159612626443838e-07	60	apply	Skin	GNAQ
78	0.9723334546778304	-0.0005841602516188	1.0033658677724335	0.6464024605404785	0.1738460461580377	3.819893883897658e-07	59	apply	Skin	GNAQ
79	0.9673543789874888	-0.0049790756903417	1.030607181190066	0.7589213868766865	0.1651537438501358	3.5025149807745866e-07	58	apply	Skin	GNAQ
80	0.968056515395838	0.0007021364083494	0.9955348293981862	0.1559595938440555	0.156896056657629	3.819893883897658e-07	59	apply	Skin	GNAQ
81	0.9681093394077448	5.282401190676023e-05	0.9996456611320038	0.2611015858653959	0.1490512538247475	3.5025149807745866e-07	58	apply	Skin	GNAQ
82	0.965801336856832	-0.0023080025509129	1.0164331669367004	0.6505631386435752	0.1415986911335101	3.819893883897658e-07	59	apply	Skin	GNAQ
83	0.9663367879685186	0.0005354511116866	0.9960274176042658	0.0921523737108145	0.1345187565768346	1.434910250103628e-05	58	apply	Skin	GNAQ
84	0.9675507020280812	0.0012139140595625	0.9905458949007944	0.1508887939321846	0.1277928187479929	1.3383664500919103e-05	57	apply	Skin	GNAQ
85	0.9680012487317567	0.0004505467036757	0.996295717135062	0.5787370502368591	0.1214031778105932	1.246696087779253e-05	56	apply	Skin	GNAQ
86	0.9632636492794804	-0.0047375994522764	1.0419329187722577	0.3081370739896546	0.1153330189200636	1.15973952606777e-05	55	apply	Skin	GNAQ
87	0.9654331028873526	0.0021694536078722	0.9803943790058812	0.0459531390206584	0.1095663679740604	1.0773392823564486e-05	54	apply	Skin	GNAQ
88	0.9645174371451744	-0.0009156657421782	1.0088358380417173	0.2104645571069243	0.1040880495753573	1.15973952606777e-05	55	apply	Skin	GNAQ
89	0.9703834147122388	0.0058659775670645	0.9424032487745748	0.1514275516931198	0.0988836470965895	1.246696087779253e-05	56	apply	Skin	GNAQ
90	0.9700704225352113	-0.0003129921770276	1.0033374064767815	0.2140426876399479	0.09393946474176	1.3383664500919103e-05	57	apply	Skin	GNAQ
91	0.969767255858594	-0.0003031666766173	1.0034028880253525	0.3831701745687693	0.089242491504672	1.434910250103628e-05	58	apply	Skin	GNAQ
92	0.9690227622796508	-0.000744493578943	1.0088201084496138	0.2511438735363354	0.0847803669294384	1.3383664500919103e-05	57	apply	Skin	GNAQ
93	0.967695315820794	-0.0013274464588568	1.0166181224715671	0.8561654832633251	0.0805413485829665	1.434910250103628e-05	58	apply	Skin	GNAQ
94	0.9668874172185432	-0.0008078986022509	1.0106147356988966	0.2703728608401087	0.0765142811538181	1.5364892545618086e-05	59	apply	Skin	GNAQ
95	0.9675285628382442	0.000641145619701	0.9912183394841376	0.4422596321632692	0.0726885670961272	1.434910250103628e-05	58	apply	Skin	GNAQ
96	0.9678638941398866	0.0003353313016424	0.9951557078406024	0.3750111559096422	0.0690541387413209	1.3383664500919103e-05	57	apply	Skin	GNAQ
97	0.9671578199893484	-0.0007060741505381	1.0108212209734648	0.5885790395191236	0.0656014318042548	1.246696087779253e-05	56	apply	Skin	GNAQ
98	0.9674811195024432	0.0003232995130948	0.9948258128075472	0.0660083197973212	0.0623213602140421	1.15973952606777e-05	55	apply	Skin	GNAQ
99	0.966789667896679	-0.0006914516057643	1.0117473461445414	0.1620556381609095	0.05920529220334	1.246696087779253e-05	56	apply	Skin	GNAQ
100	0.967100633356791	0.000310965460112	0.994486491905777	0.1152330878441637	0.0562450275931729	1.15973952606777e-05	55	apply	Skin	GNAQ
101	0.9638449504606292	-0.0032556828961617	1.0628249880950242	0.2206622797482579	0.0534327762135143	1.246696087779253e-05	56	apply	Skin	GNAQ
102	0.964493951788356	0.0006490013277268	0.9872959883097774	0.4987042947126247	0.0507611374028386	1.15973952606777e-05	55	apply	Skin	GNAQ
103	0.967936483701046	0.0034425319126898	0.9311008902149776	0.1476574695453202	0.0482230805326966	1.246696087779253e-05	56	apply	Skin	GNAQ
104	0.9683292533659732	0.0003927696649271	0.9914631235553084	0.0517445605531778	0.0458119265060618	1.15973952606777e-05	55	apply	Skin	GNAQ
105	0.9695635380455776	0.0012342846796044	0.9720379287542183	0.8270279522830891	0.0435213301807587	1.0773392823564486e-05	54	apply	Skin	GNAQ
106	0.9712850979560084	0.0017215599104307	0.9592163552009269	0.7912220884885928	0.0413452636717208	1.15973952606777e-05	55	apply	Skin	GNAQ
107	0.9705923936095008	-0.0006927043465073	1.0177923685028871	0.8908107079051573	0.0392780004881347	1.246696087779253e-05	56	apply	Skin	GNAQ
108	0.9712850979560084	0.0006927043465073	0.9816071080432652	0.4152866977822512	0.037314100463728	1.15973952606777e-05	55	apply	Skin	GNAQ
109	0.9714245296364408	0.0001394316804325	0.9960743548575408	0.8808647633330325	0.0354483954405416	1.0773392823564486e-05	54	apply	Skin	GNAQ
110	0.9704614514875274	-0.0009630781489133	1.0290112338656854	0.4580152863219232	0.0336759756685145	1.15973952606777e-05	55	apply	Skin	GNAQ
111	0.969970393345552	-0.0004910581419754	1.0154677252648014	0.911986865724674	0.0319921768850888	1.246696087779253e-05	56	apply	Skin	GNAQ
112	0.9696031522656908	-0.0003672410798609	1.012156550124881	0.3928376037121051	0.0303925680408343	1.3383664500919103e-05	57	apply	Skin	GNAQ
113	0.9701810436634718	0.0005778913977808	0.9801839870406324	0.5169776691991192	0.0288729396387926	1.246696087779253e-05	56	apply	Skin	GNAQ
114	0.9711524797498934	0.0009714360864215	0.965203798877047	0.6931774466517506	0.027429292656853	1.15973952606777e-05	55	apply	Skin	GNAQ
115	0.9730851825340014	0.001932702784108	0.9285140582867356	0.193130172563361	0.0260578280240103	1.0773392823564486e-05	54	apply	Skin	GNAQ
116	0.973620071684588	0.0005348891505864	0.9786243939358364	0.861474557514648	0.0247549366228098	9.255887408067531e-06	52	apply	Skin	GNAQ
