Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
702	0.8240072202166066	0.0001869954975054	0.0	0.7815718146685388	2.186223297537308e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
703	0.8305214723926381	0.0067012476735369	0.0	0.6326736836075554	2.0769121326604425e-15	7.902286439413995e-06	49	refuse	Skin	MAP2K1
704	0.8273056057866185	0.0034853810675173	0.0	0.0487024659699757	1.9730665260274205e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
705	0.8260500636402206	0.0022298389211194	0.0	0.3743957140565416	1.8744131997260494e-15	7.902286439413995e-06	49	refuse	Skin	MAP2K1
706	0.8248110271231659	0.0009908024040647	0.0	0.7097255124490633	1.780692539739747e-15	7.902286439413995e-06	49	refuse	Skin	MAP2K1
707	0.8246902248737953	0.0008700001546941	0.0	0.8000219465255147	1.6916579127527597e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
708	0.8238202247191011	0.0	1.0	0.0658479725791215	1.6070750171151217e-15	7.283249133494127e-06	49	apply	Skin	MAP2K1
709	0.8246268656716418	0.0008066409525406	0.0	0.6471479948272487	1.5267212662593652e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
710	0.8701050620821394	0.0462848373630383	0.0	0.051997104897736	1.4503852029463968e-15	7.902286439413995e-06	49	refuse	Skin	MAP2K1
711	0.8247330960854092	0.0009128713663081	0.0	0.7199189788492931	1.3778659427990769e-15	7.902286439413995e-06	49	refuse	Skin	MAP2K1
712	0.8255761409850881	0.001755916265987	0.0	0.8208115290150415	1.308972645659123e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
713	0.8240072202166066	0.0001869954975054	0.0	0.4943033490788198	1.243524013376167e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
714	0.8277591973244147	0.0039389726053136	0.0	0.6619193635890692	1.1813478127073586e-15	7.902286439413995e-06	49	refuse	Skin	MAP2K1
715	0.8269581056466302	0.003137880927529	0.0	0.5343984128181521	1.1222804220719906e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
716	0.824185631414547	0.0003654066954459	0.0	0.1411342501974793	1.066166400968391e-15	7.902286439413995e-06	49	refuse	Skin	MAP2K1
717	0.8269581056466302	0.003137880927529	0.0	0.1572722285867397	1.0128580809199714e-15	6.700792573212334e-06	49	refuse	Skin	MAP2K1
718	0.8911174785100286	0.0672972537909275	0.0	0.0422078543408279	9.622151768739728e-16	8.559344755162439e-06	49	refuse	Skin	MAP2K1
719	0.8294010889292196	0.0055808642101184	0.0	0.0986982196228345	9.14104418030274e-16	6.700792573212334e-06	49	refuse	Skin	MAP2K1
720	0.8225068618481244	-0.0013133628709767	1.0	0.4589245625399202	8.683991971287603e-16	6.700792573212334e-06	48	apply	Skin	MAP2K1
721	0.8792682926829268	0.0567614308348024	0.0	0.4110795148336571	8.249792372723222e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
722	0.829302987197724	0.0067961253495996	0.0	0.1899528357391856	7.837302754087059e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
723	0.8268156424581006	0.0043087806099761	0.0	0.6334880323386759	7.445437616382707e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
724	0.8228882833787466	0.0003814215306222	0.0	0.710898313436145	7.073165735563572e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
725	0.829302987197724	0.0067961253495996	0.0	0.3523573125210345	6.7195074487853935e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
726	0.8694638694638694	0.046957007615745	0.0	0.5544849214792495	6.383532076346122e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
727	0.8244206773618539	0.0019138155137294	0.0	0.1289317386097194	6.064355472528816e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
728	0.8238819732595666	0.0013751114114421	0.0	0.165084634370012	5.761137698902375e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
729	0.8260469397146801	0.0035400778665557	0.0	0.950848299351942	5.473080813957256e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
730	0.8226917776757005	0.000184915827576	0.0	0.842707900211474	5.199426773259395e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
731	0.8225068618481244	0.0	1.0	0.2041281329163023	4.939455434596424e-16	6.700792573212334e-06	48	apply	Skin	MAP2K1
732	0.8266043348916277	0.0040974730435032	0.0	0.2914031425796584	4.692482662866602e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
733	0.8244206773618539	0.0019138155137294	0.0	0.6771106009834919	4.457858529723273e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
734	0.8266550522648084	0.004148190416684	0.0	0.561559639898631	4.234965603237108e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
735	0.8465628560577289	0.0240559942096044	0.0	0.5266452829278008	4.0232173230752527e-16	1.481562712523435e-07	48	refuse	Skin	MAP2K1
736	0.8430599369085173	0.0205530750603929	0.0	0.9216312836993809	3.822056456921489e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
737	0.8297506448839209	0.0072437830357965	0.0	0.3956162285723749	3.630953634075415e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
738	0.8255280073461891	0.0030211454980647	0.0	0.1924107886120911	3.449405952371644e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
739	0.8302927450148494	0.007785883166725	0.0	0.3809603924593567	3.276935654753061e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
740	0.8296392872664059	0.0071324254182815	0.0	0.9898978071033218	3.113088872015408e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
741	0.8286252354048964	0.006118373556772	0.0	0.9655552412413152	2.957434428414637e-16	6.1534998188787234e-06	48	refuse	Skin	MAP2K1
742	0.833124739257405	0.0106178774092806	0.0	0.2268353079121707	2.809562706993905e-16	7.283249133494127e-06	48	refuse	Skin	MAP2K1
