Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
23	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
24	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
25	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
26	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
27	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
28	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
29	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
30	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|PPP3R1|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
31	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|PPP3R1|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
32	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|PPP3R1|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
33	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|PPP3R1|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
34	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
35	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
36	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
37	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|TRPC4|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
38	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|PLCB1|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|TRPC4|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
39	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|PLCB1|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|TRPC4|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
40	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|PLCB1|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|TRPC4|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|CFTR|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
41	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|PLCB1|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|PAK3|TRPC4|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|CFTR|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
42	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|PLCB1|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|PAK3|TRPC4|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|CFTR|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
43	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|PLCB1|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|GNAI3|LYN|PAK3|TRPC4|CYTH2|HRG|RAC1|SNCA|GNAI1|CCNY|PRKACB|CFTR|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
44	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|PRKACA|GNA13|PLCB1|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|GNAI3|LYN|PAK3|TRPC4|CYTH2|HRG|SNCA|GNAI1|CCNY|PRKACB|CFTR|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|WNT3A|RIC8A|PAK2|TP53|ERBB3|APOA4|FGF10|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
