Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
3624	0.7872727272727272	0.0028861101723555	0.0	0.2499677993523583	1.7703909141395606e-80	0.0001164727904049	36	refuse	Skin	BRAF
3625	0.9226305609284332	0.1382439438280616	0.0	0.9678576295232374	1.6818713684325823e-80	0.0001365139319776	36	refuse	Skin	BRAF
3626	0.9249771271729186	0.1405905100725468	0.0	0.1485092373796456	1.5977778000109531e-80	0.0001365139319776	36	refuse	Skin	BRAF
3627	0.7873462214411248	0.002959604340753	0.0	0.7666326030825398	1.5178889100104056e-80	0.0001164727904049	36	refuse	Skin	BRAF
3628	0.92	0.1356133828996283	0.0	0.8224603679911002	1.4419944645098852e-80	0.0001365139319776	36	refuse	Skin	BRAF
3629	0.9213263979193758	0.136939780819004	0.0	0.5791139383566849	1.3698947412843907e-80	0.0001365139319776	36	refuse	Skin	BRAF
3630	0.7846441947565543	0.0002575776561826	0.0	0.6001805579998842	1.3014000042201711e-80	9.845514811635291e-05	36	refuse	Skin	BRAF
3631	0.7859209257473481	0.0015343086469763	0.0	0.2023827126170776	1.2363300040091627e-80	9.845514811635291e-05	36	refuse	Skin	BRAF
3632	0.8474148802017655	0.0630282631013937	0.0	0.0337665423244339	1.1745135038087043e-80	0.0001164727904049	36	refuse	Skin	BRAF
3633	0.7867924528301887	0.002405835729817	0.0	0.8410908593360262	1.1157878286182692e-80	9.845514811635291e-05	36	refuse	Skin	BRAF
3634	0.9390334572490706	0.1546468401486989	0.0	0.0565742827762709	1.0599984371873555e-80	0.0001164727904049	36	refuse	Skin	BRAF
3635	0.9203625768857236	0.1359759597853518	0.0	0.705594512906903	1.0069985153279879e-80	0.0001365139319776	36	refuse	Skin	BRAF
3636	0.7954545454545454	0.0110679283541736	0.0	0.7500988833793716	9.566485895615884e-81	0.0001164727904049	36	refuse	Skin	BRAF
3637	0.7883597883597884	0.0039731712594166	0.0	0.0708097698839622	9.088161600835091e-81	0.0001164727904049	36	refuse	Skin	BRAF
3638	0.7967479674796748	0.012361350379303	0.0	0.2456985079660298	8.633753520793336e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3639	0.7851239669421488	0.000737349841777	0.0	0.3418285100769042	8.202065844753669e-81	0.0001164727904049	36	refuse	Skin	BRAF
3640	0.7847025495750708	0.000315932474699	0.0	0.9941429199999304	7.791962552515984e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3641	0.7894736842105263	0.0050870671101546	0.0	0.308239257141278	7.402364424890186e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3642	0.7843866171003717	0.0	1.0	0.2792942880304586	7.032246203645676e-81	0.0001072171633037	36	apply	Skin	BRAF
3643	0.9197431781701444	0.1353565610697727	0.0	0.9154984390881228	6.680633893463391e-81	0.0001365139319776	36	refuse	Skin	BRAF
3644	0.9226305609284332	0.1382439438280616	0.0	0.2198718082844706	6.346602198790223e-81	0.0001365139319776	36	refuse	Skin	BRAF
3645	0.7843866171003717	0.0	1.0	0.2301485468539307	6.029272088850711e-81	0.0001072171633037	36	apply	Skin	BRAF
3646	0.7873462214411248	0.002959604340753	0.0	0.2582665926807423	5.727808484408175e-81	0.0001164727904049	36	refuse	Skin	BRAF
3647	0.8385416666666666	0.0541550495662949	0.0	0.6715513435087936	5.441418060187766e-81	0.0001262343161372	36	refuse	Skin	BRAF
3648	0.7864963503649635	0.0021097332645917	0.0	0.8658839220910647	5.169347157178377e-81	0.0001164727904049	36	refuse	Skin	BRAF
3649	0.7846441947565543	0.0002575776561826	0.0	0.6620804502249211	4.910879799319458e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3650	0.7960242005185826	0.0116375834182108	0.0	0.8472330135309153	4.665335809353485e-81	0.0001164727904049	36	refuse	Skin	BRAF
3651	0.7846441947565543	0.0002575776561826	0.0	0.6887061007030894	4.43206901888581e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3652	0.7882764654418197	0.003889848341448	0.0	0.3330997053835715	4.2104655679415197e-81	0.0001164727904049	36	refuse	Skin	BRAF
3653	0.7847286108555658	0.000341993755194	0.0	0.9347330531969572	3.9999422895444437e-81	0.0001164727904049	36	refuse	Skin	BRAF
3654	0.7843866171003717	0.0	1.0	0.6773294287954504	3.7999451750672205e-81	0.0001072171633037	36	apply	Skin	BRAF
3655	0.8982905982905983	0.1139039811902266	0.0	0.4206042583552773	3.60994791631386e-81	2.5883235279706487e-06	36	refuse	Skin	BRAF
3656	0.7844660194174757	7.940231710401591e-05	0.0	0.1367168632649196	3.429450520498167e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3657	0.7954545454545454	0.0110679283541736	0.0	0.8989004870743299	3.2579779944732587e-81	0.0001164727904049	36	refuse	Skin	BRAF
3658	0.8474148802017655	0.0630282631013937	0.0	0.9183294902631908	3.0950790947495955e-81	0.0001164727904049	36	refuse	Skin	BRAF
3659	0.785781990521327	0.0013953734209553	0.0	0.9415708629333452	2.9403251400121157e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3660	0.786046511627907	0.0016598945275352	0.0	0.5570004605686844	2.79330888301151e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3661	0.8786967418546366	0.0943101247542649	0.0	0.4794296108949246	2.6536434388609344e-81	0.0001262343161372	36	refuse	Skin	BRAF
3662	0.7874762808349146	0.0030896637345428	0.0	0.7546069501305753	2.5209612669178876e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3663	0.7867924528301887	0.002405835729817	0.0	0.1962072523617196	2.3949132035719933e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3664	0.8928247048138056	0.1084380877134338	0.0	0.502739838407253	2.275167543393393e-81	0.0001164727904049	36	refuse	Skin	BRAF
3665	0.8839153959665519	0.0995287788661801	0.0	0.0159106011443634	2.161409166223724e-81	0.0001262343161372	36	refuse	Skin	BRAF
3666	0.9325236167341432	0.1481369996337713	0.0	0.678825171469687	2.053338707912537e-81	0.0001164727904049	36	refuse	Skin	BRAF
3667	0.8220211161387632	0.0376344990383914	0.0	0.2048871918644829	1.9506717725169103e-81	0.0001164727904049	36	refuse	Skin	BRAF
3668	0.7906976744186046	0.0063110573182328	0.0	0.1739134174900207	1.8531381838910646e-81	2.320056157033859e-06	36	refuse	Skin	BRAF
3669	0.797979797979798	0.0135931808794262	0.0	0.8399852919743914	1.760481274696511e-81	0.0001164727904049	36	refuse	Skin	BRAF
3670	0.7893719806763285	0.0049853635759568	0.0	0.8536709084124557	1.6724572109616856e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3671	0.7847025495750708	0.000315932474699	0.0	0.5695073608924519	1.5888343504136011e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3672	0.7843866171003717	0.0	1.0	0.0843079888797162	1.509392632892921e-81	0.0001072171633037	36	apply	Skin	BRAF
3673	0.7893719806763285	0.0049853635759568	0.0	0.3298687088927602	1.4339230012482746e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3674	0.7883597883597884	0.0039731712594166	0.0	0.483162273699099	1.362226851185861e-81	0.0001164727904049	36	refuse	Skin	BRAF
3675	0.7967479674796748	0.012361350379303	0.0	0.4506761035052563	1.294115508626568e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3676	0.9325236167341432	0.1481369996337713	0.0	0.8475551331856347	1.2294097331952395e-81	0.0001164727904049	36	refuse	Skin	BRAF
3677	0.7882764654418197	0.003889848341448	0.0	0.3812837724918575	1.1679392465354772e-81	0.0001164727904049	36	refuse	Skin	BRAF
3678	0.9508107123337584	0.1664240952333867	0.0	0.5860589458556735	1.1095422842087035e-81	0.0001164727904049	36	refuse	Skin	BRAF
3679	0.7961538461538461	0.0117672290534743	0.0	0.7458203172117849	1.0540651699982683e-81	9.017436243919952e-05	36	refuse	Skin	BRAF
3680	0.7957957957957958	0.0114091786954241	0.0	0.9940131935272988	1.0013619114983548e-81	9.845514811635291e-05	36	refuse	Skin	BRAF
3681	0.7915492957746478	0.0071626786742761	0.0	0.7291137062079757	9.51293815923437e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3682	0.7910447761194029	0.0066581590190312	0.0	0.8599860114153058	9.037291251272651e-82	0.0001164727904049	36	refuse	Skin	BRAF
3683	0.7893719806763285	0.0049853635759568	0.0	0.969654136443188	8.585426688709017e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3684	0.7889822595704948	0.0045956424701231	0.0	0.2908004040915873	8.156155354273566e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3685	0.7915492957746478	0.0071626786742761	0.0	0.6915753116718	7.748347586559888e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3686	0.786046511627907	0.0016598945275352	0.0	0.3151677443875553	7.360930207231895e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3687	0.7883597883597884	0.0039731712594166	0.0	0.0492107858842301	6.9928836968703e-82	0.0001164727904049	36	refuse	Skin	BRAF
3688	0.7843866171003717	0.0	1.0	0.0129643525830043	6.643239512026785e-82	0.0001072171633037	36	apply	Skin	BRAF
3689	0.9325236167341432	0.1481369996337713	0.0	0.0660857677154038	6.311077536425445e-82	0.0001164727904049	36	refuse	Skin	BRAF
3690	0.7931638913234005	0.0087772742230287	0.0	0.6801590321984318	5.995523659604172e-82	0.0001164727904049	36	refuse	Skin	BRAF
3691	0.7922568460812087	0.007870228980837	0.0	0.8690055996982436	5.695747476623962e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3692	0.8590203106332138	0.0746336935328421	0.0	0.8229985807785112	5.410960102792765e-82	0.0001164727904049	36	refuse	Skin	BRAF
3693	0.9325236167341432	0.1481369996337713	0.0	0.0959574564731094	5.1404120976531256e-82	0.0001164727904049	36	refuse	Skin	BRAF
3694	0.8716693855356172	0.0872827684352455	0.0	0.0032194905453412	4.8833914927704696e-82	0.0001164727904049	36	refuse	Skin	BRAF
3695	0.8075657894736842	0.0231791723733124	0.0	0.7569585253450919	4.639221918131946e-82	0.0001164727904049	36	refuse	Skin	BRAF
3696	0.8025169409486931	0.0181303238483213	0.0	0.7281382510217618	4.407260822225349e-82	9.845514811635291e-05	36	refuse	Skin	BRAF
3697	0.9058916567813364	0.1215050396809648	0.0	0.8563735525984065	4.1868977811140804e-82	0.0001164727904049	36	refuse	Skin	BRAF
3698	0.7851387645478961	0.0007521474475243	0.0	0.8153742042913387	3.977552892058377e-82	0.0001164727904049	36	refuse	Skin	BRAF
