Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
22	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|INS|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
23	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|INS|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
24	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|INS|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|PPP2R2D|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
25	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|INS|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|PPP2R2D|OMA1|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
26	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|INS|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|PPP2R2D|OMA1|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
27	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|PPP2R2D|OMA1|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
28	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
29	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
30	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
31	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
32	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
33	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
34	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
35	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
36	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|TERT|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
37	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
38	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
39	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|RET|ARAF|APOA4|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
40	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|YWHAB|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|RET|ARAF|APOA4|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
41	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|YWHAB|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|WNT3A|RET|ARAF|APOA4|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
42	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|YWHAB|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|WNT3A|RET|ARAF|APOA4|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
43	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|YWHAB|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|WNT3A|RET|ARAF|APOA4|MTOR|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
44	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|YWHAB|HRAS|LETMD1|OMA1|GNAI3|RRAS|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|WNT3A|RET|ARAF|APOA4|MTOR|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
45	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|YWHAB|HRAS|LETMD1|OMA1|GNAI3|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|WNT3A|RET|ARAF|APOA4|MTOR|HSPA1A|TNF|COQ9|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
46	NRAS	PPP2CB|RIN2|RAB8A|MAP2K2|MAPK11|NCK1|DAB2|MPP7|NUBPL|RDH13|YWHAB|HRAS|LETMD1|OMA1|GNAI3|RAB5B|PXN|RGL2|AKT1|GRAP2|RAB6A|SNCA|RAP1A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|WNT3A|RET|ARAF|APOA4|MTOR|HSPA1A|BRAF|MAP2K1|MICU1|MAPK1|RAB7A|RAB8B|TRABD	Skin
