Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
7673	0.9607390300230948	0.002044826159004	0.0	0.3444175850762038	1.1244677042631277e-170	0.1201211190361282	50	refuse	Skin	RAC1
7674	0.9571536428841072	-0.0015405609799834	1.0	0.3688481508274329	1.0682443190499713e-170	0.124715179234506	50	refuse	Skin	RAC1
7675	0.9591443438042012	0.0004501399401105	0.0	0.496136841800724	1.0148321030974726e-170	0.1201211190361282	50	refuse	Skin	RAC1
7676	0.9607690813750244	0.0020748775109336	0.0	0.0950612242348198	9.640904979425989e-171	0.1201211190361282	50	refuse	Skin	RAC1
7677	0.9595824154774448	0.000888211613354	0.0	0.6075512095820788	9.15885973045469e-171	0.1201211190361282	50	refuse	Skin	RAC1
7678	0.9639091044111094	0.0052149005470187	0.0	0.3812075232186979	8.700916743931955e-171	0.124715179234506	50	refuse	Skin	RAC1
7679	0.9599504147992752	0.0012562109351846	0.0	0.6321057481725957	8.265870906735357e-171	0.1201211190361282	50	refuse	Skin	RAC1
7680	0.959762406591301	0.0010682027272103	0.0	0.3329628709913634	7.852577361398589e-171	0.1201211190361282	50	refuse	Skin	RAC1
7681	0.9574992884925528	-0.0011949153715378	1.0	0.7350687316183668	7.45994849332866e-171	0.124715179234506	50	refuse	Skin	RAC1
7682	0.9595824154774448	0.000888211613354	0.0	0.6742710088322557	7.086951068662226e-171	0.1201211190361282	50	refuse	Skin	RAC1
7683	0.9591564080542035	0.000462204190113	0.0	0.0045581179522046	6.732603515229115e-171	0.1201211190361282	50	refuse	Skin	RAC1
7684	0.960133524082022	0.0014393202179312	0.0	0.3524318598024073	6.395973339467659e-171	0.1201211190361282	50	refuse	Skin	RAC1
7685	0.9583530525319452	-0.0003411513321455	1.0	0.2789669211944749	6.076174672494275e-171	0.124715179234506	50	refuse	Skin	RAC1
7686	0.9585023106667924	-0.0001918931972982	1.0	0.792579307099722	5.772365938869562e-171	0.124715179234506	50	refuse	Skin	RAC1
7687	0.959055418015616	0.0003612141515254	0.0	0.3651058937575115	5.483747641926083e-171	0.1201211190361282	50	refuse	Skin	RAC1
7688	0.9621956252579448	0.003501421393854	0.0	0.968715644893698	5.209560259829779e-171	0.124715179234506	50	refuse	Skin	RAC1
